GB_GCA_000010565.1	Pelotomaculum thermopropionicum SI
GB_GCA_000435815.1	Eubacterium sp. CAG:192
GB_GCA_000435835.1	Clostridium sp. CAG:221
GB_GCA_000435895.1	Tannerella sp. CAG:118
GB_GCA_000435975.1	Oscillibacter sp. CAG:241
GB_GCA_000435995.1	Firmicutes bacterium CAG:137
GB_GCA_000436035.1	Prevotella sp. CAG:732
GB_GCA_000436075.1	Eggerthella sp. CAG:209
GB_GCA_000436095.1	Phascolarctobacterium sp. CAG:266
GB_GCA_000436115.1	Firmicutes bacterium CAG:534
GB_GCA_000436175.1	Clostridium sp. CAG:62
GB_GCA_000436215.1	Ruminococcus sp. CAG:177
GB_GCA_000436255.1	Clostridium sp. CAG:1193
GB_GCA_000436275.1	Firmicutes bacterium CAG:240
GB_GCA_000436295.1	Phascolarctobacterium sp. CAG:207
GB_GCA_000436335.1	Clostridium sp. CAG:217
GB_GCA_000436375.1	Azospirillum sp. CAG:239
GB_GCA_000436395.1	Akkermansia muciniphila CAG:154
GB_GCA_000436415.1	Firmicutes bacterium CAG:102
GB_GCA_000436455.1	Clostridium clostridioforme CAG:132
GB_GCA_000436475.1	Eubacterium sp. CAG:248
GB_GCA_000436495.1	Parabacteroides sp. CAG:409
GB_GCA_000436535.1	Eubacterium sp. CAG:252
GB_GCA_000436575.1	Clostridium sp. CAG:265
GB_GCA_000436595.1	Prevotella sp. CAG:1124
GB_GCA_000436615.1	Blautia sp. CAG:237
GB_GCA_000436635.1	Coprococcus sp. CAG:131
GB_GCA_000436695.1	Prevotella sp. CAG:1185
GB_GCA_000436735.1	Firmicutes bacterium CAG:170
GB_GCA_000436755.1	Clostridium sp. CAG:253
GB_GCA_000436775.1	Eubacterium sp. CAG:202
GB_GCA_000436795.1	Bacteroides sp. CAG:1076
GB_GCA_000436835.1	Eubacterium sp. CAG:251
GB_GCA_000436875.1	Oscillibacter sp. CAG:155
GB_GCA_000436895.1	Paraprevotella clara CAG:116
GB_GCA_000436915.1	Prevotella sp. CAG:1092
GB_GCA_000436935.1	Firmicutes bacterium CAG:227
GB_GCA_000436955.1	Roseburia sp. CAG:100
GB_GCA_000436975.1	Clostridium sp. CAG:1000
GB_GCA_000437015.1	Anaerotruncus sp. CAG:390
GB_GCA_000437075.1	Akkermansia sp. CAG:344
GB_GCA_000437095.1	Roseburia sp. CAG:471
GB_GCA_000437115.1	Clostridium sp. CAG:470
GB_GCA_000437135.1	Bacteroides intestinalis CAG:315
GB_GCA_000437155.1	Collinsella sp. CAG:289
GB_GCA_000437175.1	Ruminococcus sp. CAG:330
GB_GCA_000437215.1	Clostridium sp. CAG:440
GB_GCA_000437235.1	Coprobacillus sp. CAG:826
GB_GCA_000437255.1	Ruminococcus sp. CAG:403
GB_GCA_000437275.1	Clostridium sp. CAG:411
GB_GCA_000437315.1	Mycoplasma sp. CAG:472
GB_GCA_000437335.1	Bacillus sp. CAG:988
GB_GCA_000437355.1	Firmicutes bacterium CAG:460
GB_GCA_000437375.1	Eubacterium sp. CAG:841
GB_GCA_000437395.1	Clostridium sp. CAG:288
GB_GCA_000437435.1	Clostridium sp. CAG:768
GB_GCA_000437455.1	Clostridium sp. CAG:354
GB_GCA_000437495.1	Prevotella sp. CAG:485
GB_GCA_000437515.1	Acidiphilium sp. CAG:727
GB_GCA_000437535.1	Prevotella stercorea CAG:629
GB_GCA_000437555.1	Acidaminococcus sp. CAG:917
GB_GCA_000437575.1	Clostridium sp. CAG:307
GB_GCA_000437595.1	Faecalibacterium sp. CAG:74
GB_GCA_000437635.1	Sutterella sp. CAG:521
GB_GCA_000437655.1	Clostridium sp. CAG:729
GB_GCA_000437675.1	Prevotella sp. CAG:891
GB_GCA_000437695.1	Firmicutes bacterium CAG:321
GB_GCA_000437715.1	Catenibacterium sp. CAG:290
GB_GCA_000437735.1	Eubacterium sp. CAG:38
GB_GCA_000437755.1	Roseburia sp. CAG:303
GB_GCA_000437775.1	Fusobacterium sp. CAG:815
GB_GCA_000437795.1	Prevotella sp. CAG:279
GB_GCA_000437815.1	Acidaminococcus sp. CAG:542
GB_GCA_000437855.1	Clostridium sp. CAG:567
GB_GCA_000437875.1	Clostridium sp. CAG:269
GB_GCA_000437895.1	Clostridium sp. CAG:914
GB_GCA_000437915.1	Subdoligranulum sp. CAG:314
GB_GCA_000437955.1	Eubacterium sp. CAG:76
GB_GCA_000437975.1	Eubacterium sp. CAG:581
GB_GCA_000438015.1	Coraliomargarita sp. CAG:312
GB_GCA_000438055.1	Clostridium sp. CAG:813
GB_GCA_000438075.1	Clostridium sp. CAG:609
GB_GCA_000438095.1	Clostridium sp. CAG:277
GB_GCA_000438115.1	Prevotella sp. CAG:617
GB_GCA_000438155.1	Firmicutes bacterium CAG:95
GB_GCA_000438175.1	Fusobacterium sp. CAG:439
GB_GCA_000438195.1	Mycoplasma sp. CAG:776
GB_GCA_000438255.1	Clostridium sp. CAG:389
GB_GCA_000438275.1	Blautia sp. CAG:37
GB_GCA_000438295.1	Clostridium sp. CAG:451
GB_GCA_000438355.1	Clostridium sp. CAG:273
GB_GCA_000438375.1	Roseburia sp. CAG:182
GB_GCA_000438415.1	Clostridium sp. CAG:628
GB_GCA_000438435.1	Ruminococcus sp. CAG:624
GB_GCA_000438985.1	Bacteroidetes bacterium SCGC AAA027-G08
GB_GCA_000439025.2	Bacteroidetes bacterium SCGC AAA027-N21
GB_GCA_000439395.1	Haemophilus parasuis ZJ0906
GB_GCA_000444765.1	Thermotoga sp. A7A
GB_GCA_000445185.1	Thermoanaerobacter sp. A7A
GB_GCA_000445205.1	Desulfonauticus sp. A7A
GB_GCA_000447245.1	candidate division Zixibacteria bacterium RBG-1
GB_GCA_000448525.1	Helicobacter pylori SouthAfrica50
GB_GCA_000448565.1	Streptococcus sp. HSISM1
GB_GCA_000448665.1	Streptococcus sp. HSISS2
GB_GCA_000465115.1	Treponema pedis isoM1111
GB_GCA_000465325.1	Bradyrhizobium sp. DFCI-1
GB_GCA_000467025.1	Pseudomonas fuscovaginae DAR 77800
GB_GCA_000467675.1	Pseudomonas aeruginosa VRFPA03
GB_GCA_000470435.1	Kingella kingae KK98
GB_GCA_000470555.1	Kingella kingae KK190
GB_GCA_000476535.1	Helicobacter pylori SA29A
GB_GCA_000485475.1	Candidatus Ancillula trichonymphae ImTpAt
GB_GCA_000485495.1	actinobacterium SCGC AAA044-D11
GB_GCA_000493905.1	Cloacimonetes bacterium JGI OTU-2
GB_GCA_000493945.1	Candidatus Hydrogenedens terephthalicus JGI OTU-1
GB_GCA_000493965.1	Candidatus Aminicenans sakinawicola JGI OTU-1
GB_GCA_000493985.1	Aminicenantes bacterium JGI OTU-2
GB_GCA_000494045.1	Cloacimonetes bacterium JGI OTU-3
GB_GCA_000494225.1	Candidatus Calescibacterium nevadense OTU 1
GB_GCA_000495415.1	Smithella sp. ME-1
GB_GCA_000495595.1	uncultured Desulfofustis sp. PB-SRB1
GB_GCA_000495615.1	uncultured Thiohalocapsa sp. PB-PSB1
GB_GCA_000499325.1	Helicobacter pylori H13-1
GB_GCA_000499345.1	Helicobacter pylori E48
GB_GCA_000500915.1	Rhodobacter sp. CACIA14H1
GB_GCA_000501215.1	Borrelia garinii IPT133
GB_GCA_000503195.1	Blastomonas sp. CACIA14H2
